name,rating,price
It's Only the Himalayas,2,Â45.17
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,4,Â49.43
See America: A Celebration of Our National Parks & Treasured Sites,3,Â48.87
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,2,Â36.94
Under the Tuscan Sun,3,Â37.33
A Summer In Europe,2,Â44.34
The Great Railway Bazaar,1,Â30.54
A Year in Provence (Provence #1),4,Â56.88
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),1,Â23.21
Neither Here nor There: Travels in Europe,3,Â38.95
"1,000 Places to See Before You Die",5,Â26.08
